:START_ID,:END_ID,relation:STRING,:TYPE
0,1,asked_by,RELATION
0,2,showed,RELATION
0,3,kept,RELATION
3,4,lasted_for,RELATION
5,6,rang,RELATION
7,8,crossed,RELATION
0,9,turned,RELATION
1,9,turned,RELATION
10,11,moved,RELATION
12,13,returned_to,RELATION
14,15,replaced,RELATION
13,16,resumed,RELATION
0,17,reset,RELATION
0,2,adjusted_forward,RELATION
18,19,placed,RELATION
19,13,is_located_in,RELATION
19,0,named,RELATION
19,1,named,RELATION
0,20,requested_addition_of,RELATION
20,19,was_added_to,RELATION
21,22,tested,RELATION
0,13,visited,RELATION
23,24,climbed,RELATION
25,24,climbed,RELATION
